enrollee_id,city,relevent_experience,education_level,major_discipline,experience,company_size,last_new_job,training_hours,target
8949,city_103,Has relevent experience,Graduate,STEM,>20,,1,36,1
29725,city_40,No relevent experience,Graduate,STEM,15,50-99,>4,47,0
11561,city_21,No relevent experience,Graduate,STEM,5,,never,83,0
33241,city_115,No relevent experience,Graduate,Business Degree,<1,,never,52,1
666,city_162,Has relevent experience,Masters,STEM,>20,50-99,4,8,0
21651,city_176,Has relevent experience,Graduate,STEM,11,,1,24,1
28806,city_160,Has relevent experience,High School,,5,50-99,1,24,0
402,city_46,Has relevent experience,Graduate,STEM,13,<10,>4,18,1
27107,city_103,Has relevent experience,Graduate,STEM,7,50-99,1,46,1
699,city_103,Has relevent experience,Graduate,STEM,17,10000+,>4,123,0
29452,city_21,No relevent experience,High School,,2,,never,32,1
23853,city_103,Has relevent experience,Graduate,STEM,5,5000-9999,1,108,0
25619,city_61,Has relevent experience,Graduate,STEM,>20,1000-4999,3,23,0
5826,city_21,No relevent experience,,,2,,never,24,0
8722,city_21,No relevent experience,High School,,5,,never,26,0
6588,city_114,Has relevent experience,Graduate,STEM,16,10-49,>4,18,0
4167,city_103,Has relevent experience,Graduate,STEM,1,50-99,never,106,0
5764,city_21,Has relevent experience,Graduate,STEM,2,5000-9999,2,7,0
2156,city_21,Has relevent experience,Graduate,STEM,7,10000+,never,23,1
11399,city_13,Has relevent experience,Graduate,Arts,4,,1,132,1
31972,city_159,Has relevent experience,Masters,STEM,11,100-500,1,68,0
19061,city_114,Has relevent experience,Masters,STEM,11,100-500,2,50,0
6491,city_102,Has relevent experience,Masters,STEM,10,,1,48,0
7041,city_40,Has relevent experience,Graduate,Humanities,<1,1000-4999,1,65,0
22767,city_21,Has relevent experience,Graduate,STEM,5,1000-4999,1,13,0
14505,city_67,No relevent experience,High School,,4,,never,22,0
17139,city_21,Has relevent experience,Graduate,STEM,14,500-999,1,148,1
24850,city_149,No relevent experience,,,3,,never,43,0
27373,city_64,Has relevent experience,Graduate,STEM,8,10-49,1,88,0
25179,city_21,No relevent experience,High School,,3,,,145,0
7786,city_21,Has relevent experience,Graduate,STEM,9,100-500,1,48,1
29672,city_84,Has relevent experience,Graduate,STEM,6,,1,24,1
2108,city_50,Has relevent experience,Masters,STEM,>20,50-99,>4,78,0
5991,city_162,Has relevent experience,Graduate,STEM,12,,never,94,0
27153,city_21,No relevent experience,High School,,6,,never,196,0
32082,city_100,No relevent experience,Masters,STEM,5,50-99,1,218,0
15222,city_160,No relevent experience,Graduate,STEM,4,,1,155,1
31579,city_103,Has relevent experience,Graduate,Other,>20,500-999,>4,61,0
32485,city_103,Has relevent experience,Graduate,STEM,18,,1,12,1
26551,city_61,Has relevent experience,Graduate,STEM,>20,<10,1,101,0
7726,city_21,Has relevent experience,Graduate,STEM,3,10-49,1,202,1
22372,city_21,No relevent experience,,,2,,never,15,1
20065,city_103,Has relevent experience,Masters,STEM,>20,100-500,>4,90,0
26582,city_128,No relevent experience,High School,,2,,1,9,0
23831,city_21,No relevent experience,High School,,7,,never,136,1
3052,city_21,No relevent experience,Graduate,STEM,3,50-99,1,26,1
16437,city_100,Has relevent experience,Graduate,STEM,>20,500-999,never,54,0
14361,city_103,No relevent experience,High School,,4,,never,21,0
3060,city_67,No relevent experience,Graduate,STEM,10,,2,11,0
22797,city_10,Has relevent experience,Graduate,STEM,7,10000+,1,109,0
9067,city_74,Has relevent experience,Graduate,STEM,14,10-49,,57,0
18803,city_136,No relevent experience,Graduate,STEM,4,,never,146,0
24456,city_21,No relevent experience,High School,,7,,never,88,1
14203,city_114,No relevent experience,High School,,15,,never,21,0
31211,city_114,No relevent experience,High School,,4,,never,104,0
26423,city_16,Has relevent experience,Graduate,STEM,6,,4,4,0
14582,city_21,Has relevent experience,Graduate,STEM,5,1000-4999,3,60,0
6511,city_21,Has relevent experience,Graduate,STEM,5,50-99,1,304,1
8978,city_75,Has relevent experience,Graduate,STEM,9,100-500,1,78,0
9634,city_77,Has relevent experience,High School,,5,50-99,never,162,0
2780,city_61,Has relevent experience,Graduate,STEM,14,100-500,2,3,0
3048,city_114,No relevent experience,Graduate,Business Degree,2,50-99,1,15,0
15051,city_103,Has relevent experience,Graduate,STEM,>20,1000-4999,>4,116,0
17357,city_160,No relevent experience,Primary School,,<1,,,166,0
12504,city_21,Has relevent experience,Graduate,STEM,12,10-49,2,83,1
29357,city_103,Has relevent experience,Graduate,Humanities,>20,1000-4999,>4,74,0
15818,city_103,Has relevent experience,Masters,STEM,>20,<10,2,82,0
26132,city_81,Has relevent experience,Graduate,STEM,11,100-500,>4,21,0
3918,city_103,Has relevent experience,Graduate,STEM,>20,,>4,99,0
19030,city_16,Has relevent experience,Graduate,Arts,4,10-49,2,45,0
5734,city_21,Has relevent experience,Graduate,STEM,2,10-49,2,3,1
14847,city_21,No relevent experience,Graduate,STEM,5,,never,34,1
11713,city_21,No relevent experience,Graduate,STEM,5,,never,111,1
3846,city_103,Has relevent experience,Graduate,Business Degree,16,50-99,1,70,0
29556,city_90,No relevent experience,Graduate,STEM,<1,,never,82,1
8667,city_176,Has relevent experience,Graduate,STEM,7,50-99,1,48,0
11045,city_21,Has relevent experience,Graduate,STEM,3,,1,284,1
9739,city_94,Has relevent experience,Graduate,STEM,17,,>4,24,1
16711,city_21,Has relevent experience,Graduate,STEM,8,10000+,1,6,1
29918,city_103,Has relevent experience,Masters,Humanities,>20,,1,8,1
31713,city_21,No relevent experience,Graduate,STEM,3,,1,2,1
29486,city_103,No relevent experience,Graduate,STEM,8,,1,9,1
15264,city_103,No relevent experience,Graduate,STEM,10,,never,278,0
1075,city_98,No relevent experience,Graduate,STEM,5,100-500,2,76,0
328,city_131,No relevent experience,Graduate,Business Degree,10,10-49,never,22,0
29628,city_103,Has relevent experience,Graduate,STEM,>20,10000+,>4,36,0
27370,city_136,Has relevent experience,Masters,STEM,11,50-99,1,56,0
18754,city_114,Has relevent experience,Graduate,STEM,>20,,>4,123,0
12225,city_94,Has relevent experience,Masters,STEM,15,<10,1,36,0
30653,city_160,No relevent experience,Graduate,STEM,9,100-500,3,43,0
9162,city_114,Has relevent experience,Masters,STEM,>20,50-99,1,24,0
27115,city_103,Has relevent experience,Graduate,STEM,>20,10000+,4,94,0
3932,city_103,Has relevent experience,Graduate,STEM,9,50-99,1,20,0
25102,city_21,No relevent experience,Graduate,STEM,1,,never,22,1
15912,city_103,No relevent experience,Graduate,Humanities,4,,2,166,0
33340,city_75,No relevent experience,Graduate,STEM,5,,never,48,0
27462,city_103,Has relevent experience,Graduate,Business Degree,>20,10000+,1,85,0
4505,city_160,Has relevent experience,Phd,STEM,>20,50-99,>4,15,0
32415,city_149,Has relevent experience,Graduate,STEM,8,<10,never,24,0
28509,city_21,Has relevent experience,Masters,STEM,7,10000+,1,34,1
1641,city_160,Has relevent experience,Graduate,STEM,4,10000+,never,17,0
33245,city_145,No relevent experience,Graduate,STEM,2,,never,25,1
